Occupation - unit group4,State2,Number of individuals,"Average taxable income3
$","Median taxable income3
$","Average salary or wage income3 
$","Median salary or wage income3 
$","Average total income3 
$","Median total income3 
$"
"1499 Other hospitality, retail or service manager",WA,"3,210","102,361","92,038","29,692","25,166","105,605","94,974"
"2111 Actor, dancer or other entertainer",ACT,135,"30,477","27,605","4,955","2,655","32,955","30,298"
"2111 Actor, dancer or other entertainer",NSW,"4,394","44,384","27,504","7,841","2,760","48,496","30,616"
"2111 Actor, dancer or other entertainer",NT,63,"31,111","24,864","6,356","2,693","32,959","26,110"
"2111 Actor, dancer or other entertainer",QLD,"1,801","32,294","24,972","5,365","2,562","35,026","26,814"
"2111 Actor, dancer or other entertainer",SA,479,"29,893","21,950","4,196","1,300","32,254","24,237"
"2111 Actor, dancer or other entertainer",TAS,133,"35,998","21,501","6,625","1,401","38,753","22,750"
"2111 Actor, dancer or other entertainer",VIC,"3,895","43,061","26,227","7,934","2,315","47,174","29,221"
"2111 Actor, dancer or other entertainer",WA,672,"32,901","25,129","5,151","2,285","35,421","26,996"
2112 Music professional,ACT,82,"42,345","43,006","8,793","6,435","46,564","44,192"
2112 Music professional,NSW,"2,040","60,305","47,079","12,843","7,810","64,468","50,361"
2112 Music professional,NT,22,"39,626","32,767","8,110","3,308","42,530","34,994"
2112 Music professional,QLD,721,"48,566","38,664","10,107","6,137","51,853","41,410"
2112 Music professional,SA,345,"49,175","43,865","11,378","8,628","53,033","47,167"
2112 Music professional,TAS,136,"46,305","37,690","9,989","6,450","50,453","41,007"
2112 Music professional,VIC,"1,669","53,585","40,614","10,859","7,024","57,581","43,875"
2112 Music professional,WA,460,"54,176","44,175","10,988","6,381","58,029","47,942"
2113 Photographer,ACT,104,"60,807","57,932","12,205","11,499","63,289","61,979"
2113 Photographer,NSW,"1,943","47,473","39,057","9,065","5,778","50,231","41,470"
2113 Photographer,NT,25,"48,352","54,125","11,784","14,394","50,143","58,275"
2113 Photographer,QLD,"1,076","38,748","32,650","7,029","4,150","41,417","35,774"
2113 Photographer,SA,329,"42,134","34,123","7,518","4,175","44,619","36,290"
2113 Photographer,TAS,82,"41,142","36,321","8,034","5,160","42,532","39,034"
2113 Photographer,VIC,"1,535","45,674","38,621","8,433","5,206","48,532","41,831"
2113 Photographer,WA,459,"41,910","35,154","7,947","5,432","44,367","38,067"
2114 Visual arts and crafts professional,ACT,57,"46,614","36,364","8,449","5,348","48,187","38,441"
2114 Visual arts and crafts professional,NSW,780,"48,697","40,229","11,347","7,155","51,304","42,585"
2114 Visual arts and crafts professional,NT,56,"30,443","29,702","4,017","1,517","31,203","30,280"
2114 Visual arts and crafts professional,QLD,352,"39,785","33,364","8,739","5,065","41,667","35,109"
2114 Visual arts and crafts professional,SA,153,"43,090","35,574","9,245","5,468","44,889","36,462"
2114 Visual arts and crafts professional,TAS,39,"27,493","20,815","4,036","1,419","28,605","21,035"
2114 Visual arts and crafts professional,VIC,972,"46,788","39,416","10,573","6,982","50,183","42,662"
2114 Visual arts and crafts professional,WA,176,"32,417","26,249","5,560","2,704","33,884","26,864"
"2121 Artistic director, media producer or presenter",ACT,135,"85,522","74,797","24,425","18,878","88,792","78,161"
"2121 Artistic director, media producer or presenter",NSW,"5,220","95,152","77,303","27,318","20,152","99,786","81,389"
"2121 Artistic director, media producer or presenter",NT,90,"51,843","43,165","11,885","7,576","55,311","47,667"
"2121 Artistic director, media producer or presenter",QLD,"1,195","72,195","64,737","18,979","15,537","76,491","68,497"
"2121 Artistic director, media producer or presenter",SA,358,"77,780","61,368","20,076","14,397","82,021","66,278"
"2121 Artistic director, media producer or presenter",TAS,133,"61,767","54,805","15,348","10,971","65,066","59,449"
"2121 Artistic director, media producer or presenter",VIC,"2,435","88,071","68,960","22,971","16,923","92,803","73,315"
"2121 Artistic director, media producer or presenter",WA,490,"76,918","63,420","18,679","13,842","80,519","65,764"
"2122 Author, or book or script editor",ACT,65,"65,181","61,928","13,608","13,574","67,880","62,875"
"2122 Author, or book or script editor",NSW,835,"78,487","58,448","15,295","11,992","86,804","60,418"
"2122 Author, or book or script editor",QLD,209,"53,608","47,863","12,120","8,708","56,002","50,086"
"2122 Author, or book or script editor",SA,73,"53,274","49,623","11,310","8,162","55,713","51,595"
"2122 Author, or book or script editor",TAS,25,"53,072","44,617","10,525","6,094","55,599","45,221"
"2122 Author, or book or script editor",VIC,804,"61,678","52,131","13,107","10,019","64,387","54,501"
"2122 Author, or book or script editor",WA,81,"59,651","44,116","11,369","4,515","61,662","47,214"
"2123 Film, television radio or stage director",ACT,134,"66,847","64,997","16,016","14,913","69,130","67,158"
"2123 Film, television radio or stage director",NSW,"4,544","84,366","70,335","22,295","17,311","88,448","73,825"
"2123 Film, television radio or stage director",NT,60,"64,011","54,368","16,608","11,701","66,940","57,423"
"2123 Film, television radio or stage director",QLD,"1,162","66,862","58,452","15,600","13,380","70,235","60,783"
"2123 Film, television radio or stage director",SA,399,"59,741","55,403","14,131","10,940","64,056","58,041"
"2123 Film, television radio or stage director",TAS,110,"57,285","47,809","11,382","10,474","59,753","51,152"
"2123 Film, television radio or stage director",VIC,"2,572","73,439","62,558","19,023","14,592","77,432","66,226"
"2123 Film, television radio or stage director",WA,447,"64,098","58,930","15,279","12,951","66,703","62,466"
2124 Journalist or other writer,ACT,465,"88,934","75,960","24,201","19,934","92,359","78,506"
2124 Journalist or other writer,NSW,"7,017","80,496","67,616","21,170","16,539","83,997","71,087"
2124 Journalist or other writer,NT,113,"79,631","76,503","23,436","22,885","83,043","80,679"
2124 Journalist or other writer,QLD,"2,260","67,089","60,414","16,878","14,510","70,029","63,026"
2124 Journalist or other writer,SA,870,"73,237","65,972","18,449","15,605","76,294","67,949"
2124 Journalist or other writer,TAS,295,"68,452","61,614","17,290","15,356","70,884","65,122"
2124 Journalist or other writer,VIC,"4,263","71,764","62,138","17,451","14,102","74,809","64,900"
2124 Journalist or other writer,WA,"1,192","73,227","66,219","18,946","16,744","76,145","69,002"
2211 Accountant,ACT,"2,794","95,352","83,200","25,143","21,525","98,780","86,167"
2211 Accountant,NSW,"65,294","98,988","74,722","27,612","18,588","102,358","77,827"
2211 Accountant,NT,744,"85,412","73,417","22,346","18,519","88,791","76,896"
2211 Accountant,QLD,"23,467","85,010","70,538","22,548","17,098","88,419","73,730"
2211 Accountant,SA,"8,136","81,244","69,851","20,444","16,364","84,718","72,987"
2211 Accountant,TAS,"1,860","75,970","66,115","18,541","15,406","78,938","68,627"
2211 Accountant,VIC,"44,846","90,167","72,827","24,323","17,898","93,826","76,236"
2211 Accountant,WA,"15,205","95,234","77,941","26,033","19,506","99,146","80,816"
"2212 Auditor, company secretary or corporate treasurer",ACT,501,"91,986","78,833","25,789","21,398","95,421","82,345"
"2212 Auditor, company secretary or corporate treasurer",NSW,"8,335","113,952","83,887","33,017","22,368","117,310","86,729"
"2212 Auditor, company secretary or corporate treasurer",NT,97,"75,435","66,158","18,601","15,691","78,792","71,232"
"2212 Auditor, company secretary or corporate treasurer",QLD,"2,599","87,770","74,400","23,898","18,768","90,989","77,155"
"2212 Auditor, company secretary or corporate treasurer",SA,941,"79,152","66,836","20,023","15,474","82,352","69,428"
"2212 Auditor, company secretary or corporate treasurer",TAS,201,"83,107","65,646","21,333","15,807","85,900","69,909"
"2212 Auditor, company secretary or corporate treasurer",VIC,"5,232","103,058","78,948","28,289","20,376","107,114","82,009"
"2212 Auditor, company secretary or corporate treasurer",WA,"1,621","101,830","78,404","27,971","19,490","105,334","81,499"
2221 Financial broker,ACT,171,"96,372","82,855","27,273","20,297","103,040","90,760"
2221 Financial broker,NSW,"5,594","116,239","76,438","35,003","19,016","120,941","80,281"
2221 Financial broker,NT,103,"93,497","80,257","23,971","20,068","97,216","83,317"
2221 Financial broker,QLD,"2,784","82,606","64,919","21,112","14,560","86,919","68,434"
2221 Financial broker,SA,829,"77,502","64,165","18,931","14,204","82,191","68,002"
2221 Financial broker,TAS,191,"86,121","71,817","21,387","16,995","90,665","76,713"
2221 Financial broker,VIC,"4,132","94,795","69,230","26,439","16,591","99,845","73,720"
2221 Financial broker,WA,"1,863","92,621","73,271","25,201","17,625","97,551","76,985"
2222 Financial dealer,ACT,25,"224,494","145,719","95,844","60,396","245,241","183,840"
2222 Financial dealer,NSW,"2,482","312,937","158,569","110,949","49,668","320,821","163,377"
2222 Financial dealer,NT,5,"114,170","78,376","39,080","24,000","122,597","87,693"
2222 Financial dealer,QLD,464,"164,820","120,694","54,331","34,656","175,107","129,003"
2222 Financial dealer,SA,118,"165,518","112,591","52,438","29,679","174,150","116,388"
2222 Financial dealer,TAS,20,"224,430","151,319","87,170","46,488","283,723","161,833"
2222 Financial dealer,VIC,"1,143","223,716","128,054","78,894","38,496","232,706","136,429"
2222 Financial dealer,WA,361,"201,995","128,200","69,639","37,873","215,190","138,469"
2223 Financial investment advisor or manager,ACT,263,"111,930","92,140","31,097","25,665","119,039","98,004"
2223 Financial investment advisor or manager,NSW,"7,349","166,648","97,257","52,697","26,443","173,996","102,866"
2223 Financial investment advisor or manager,NT,53,"120,347","95,971","35,779","26,084","125,072","97,827"
2223 Financial investment advisor or manager,QLD,"3,575","103,266","82,276","29,286","21,244","109,524","87,638"
2223 Financial investment advisor or manager,SA,"1,178","100,655","84,040","27,906","20,636","106,874","88,619"
2223 Financial investment advisor or manager,TAS,306,"99,035","82,737","24,603","18,735","104,892","86,330"
2223 Financial investment advisor or manager,VIC,"5,610","121,573","86,181","35,371","22,776","128,552","91,280"
2223 Financial investment advisor or manager,WA,"1,571","113,547","90,850","32,320","23,870","120,393","97,080"
2231 Human resource professional,ACT,"1,055","76,169","68,920","19,832","16,748","78,501","70,715"
2231 Human resource professional,NSW,"16,901","76,614","64,701","20,272","15,362","79,461","67,366"
2231 Human resource professional,NT,508,"64,780","60,374","16,382","13,723","67,290","62,965"
2231 Human resource professional,QLD,"9,241","67,646","59,700","16,468","13,365","70,089","62,032"
2231 Human resource professional,SA,"2,775","59,365","53,972","13,637","11,112","61,518","56,095"
2231 Human resource professional,TAS,743,"57,581","54,341","13,178","11,382","59,274","56,313"
2231 Human resource professional,VIC,"12,699","70,963","62,304","18,172","14,373","73,840","64,839"
2231 Human resource professional,WA,"5,610","70,497","63,916","17,937","15,022","72,670","66,050"
2232 IT trainer,ACT,37,"94,194","91,456","27,574","27,409","96,505","93,977"
2232 IT trainer,NSW,570,"77,166","70,048","20,309","18,078","80,627","75,883"
2232 IT trainer,NT,23,"58,618","44,702","13,275","8,698","60,018","45,414"
2232 IT trainer,QLD,309,"66,012","60,098","16,130","14,260","69,185","63,444"
2232 IT trainer,SA,65,"63,907","60,981","15,107","13,986","65,922","63,892"
2232 IT trainer,TAS,20,"85,356","70,042","16,103","15,766","88,107","71,987"
2232 IT trainer,VIC,420,"67,831","65,073","16,804","15,645","70,827","68,270"
2232 IT trainer,WA,124,"80,800","77,271","21,510","19,188","83,915","81,207"
2233 Training and development officer,ACT,244,"81,122","76,683","20,493","19,206","83,959","80,331"
2233 Training and development officer,NSW,"4,973","76,007","70,875","19,500","17,074","79,495","74,100"
2233 Training and development officer,NT,220,"70,152","64,437","18,857","16,308","72,720","68,385"
2233 Training and development officer,QLD,"4,079","72,467","67,677","18,342","16,351","75,595","71,085"
2233 Training and development officer,SA,"1,202","65,869","62,386","15,561","13,932","68,534","65,058"
2233 Training and development officer,TAS,321,"59,867","55,721","12,834","11,320","62,494","57,623"
2233 Training and development officer,VIC,"4,313","68,869","64,412","16,907","15,018","72,321","67,897"
2233 Training and development officer,WA,"2,409","81,360","75,151","22,027","19,198","84,179","78,326"
"2241 Actuary, mathematician or statistician",ACT,344,"101,529","93,862","27,598","25,348","103,471","94,610"
"2241 Actuary, mathematician or statistician",NSW,"2,326","155,921","118,020","50,461","35,341","159,468","120,117"
"2241 Actuary, mathematician or statistician",NT,24,"92,707","87,189","26,775","22,541","93,927","88,995"
"2241 Actuary, mathematician or statistician",QLD,523,"95,852","81,461","24,562","21,496","97,630","83,138"
"2241 Actuary, mathematician or statistician",SA,293,"80,506","82,594","20,472","21,332","82,761","83,681"
"2241 Actuary, mathematician or statistician",TAS,66,"73,764","72,414","18,797","17,537","75,187","73,147"
"2241 Actuary, mathematician or statistician",VIC,"1,159","116,554","90,191","35,388","25,556","122,722","92,764"
"2241 Actuary, mathematician or statistician",WA,246,"82,395","80,998","23,691","21,160","84,188","82,928"
"2242 Archivist, curator or records manager",ACT,452,"67,294","64,819","15,018","14,612","69,043","66,043"
"2242 Archivist, curator or records manager",NSW,"3,732","64,228","57,995","15,174","12,518","66,312","60,037"
"2242 Archivist, curator or records manager",NT,185,"59,943","57,965","14,875","13,306","61,957","60,660"
"2242 Archivist, curator or records manager",QLD,"2,162","57,448","53,965","12,781","10,894","60,275","55,763"
"2242 Archivist, curator or records manager",SA,766,"57,435","54,708","12,835","11,337","59,126","56,476"
"2242 Archivist, curator or records manager",TAS,249,"57,569","53,280","11,668","10,600","59,179","54,700"
"2242 Archivist, curator or records manager",VIC,"3,185","58,158","53,944","13,032","10,762","60,125","55,469"
"2242 Archivist, curator or records manager",WA,"1,721","58,906","56,186","14,007","12,282","60,654","57,876"
2243 Economist,ACT,525,"120,965","105,047","35,790","30,495","124,731","108,346"
2243 Economist,NSW,"1,139","158,297","117,292","52,277","34,626","161,628","119,803"
2243 Economist,NT,28,"118,706","106,851","35,399","32,883","120,056","109,772"
2243 Economist,QLD,457,"122,857","104,230","37,515","29,940","125,836","105,955"
2243 Economist,SA,124,"115,872","91,284","32,372","25,902","118,234","93,009"
2243 Economist,TAS,33,"117,245","104,478","33,621","29,311","120,742","107,552"
2243 Economist,VIC,935,"138,669","106,611","41,049","30,716","141,636","108,296"
